trial	parent	stage	val_bpb	training_seconds	status	description
b0000		baseline	0.991068	300.150000	baseline	unaltered baseline
t0001	b0000	refine	0.983511	300.050000	keep	Single-variable hyperparameter change: TOTAL_BATCH_SIZE 2**19 -> 2**18. This also drops gradient accumulation from 2 micro-steps to 1 (DEVICE_BATCH_SIZE stays 128, sequence length stays 2048). No architecture, optimizer, schedule, or learning-rate change.
t0002	t0001	explore	0.981629	300.100000	keep	One-line architectural change in GPT._compute_window_sizes: short_window = long_window // 2 becomes long_window // 4, so the S layers of the SSSL pattern attend over 512 tokens instead of 1024. The L layers, the forced full-context last layer, the pattern itself, model capacity, optimizer, batch size and schedules are all unchanged from champion t0001.
t0003	t0002	refine	0.986688	300.000000	discard	Batching-only change on champion t0002: TOTAL_BATCH_SIZE 2**18 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64, keeping gradient accumulation at exactly 1 micro-step. Sequence length 2048, the SSSL pattern with the 512-token short window from t0002, capacity, optimizer and all schedules are unchanged.
t0004	t0002	refine	0.981147	300.100000	keep	One coherent recipe change on champion t0002: rescale the learning rates to match the batch size actually in use. EMBEDDING_LR 0.6 -> 0.4243, UNEMBEDDING_LR 0.004 -> 0.002828, MATRIX_LR 0.04 -> 0.02828, each divided by sqrt(2). SCALAR_LR, batch size, the 512-token short window, capacity, optimizer structure and all schedule shapes are unchanged.
t0005	t0004	refine	0.981248	300.000000	discard	Coordinated move along the batch-versus-learning-rate scaling line on champion t0004: TOTAL_BATCH_SIZE 2**18 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64 (gradient accumulation stays at 1), with EMBEDDING_LR 0.4243 -> 0.3, UNEMBEDDING_LR 0.002828 -> 0.002 and MATRIX_LR 0.02828 -> 0.02, each a further 1/sqrt(2). Capacity, the 512-token short window, optimizer structure and all schedule shapes are unchanged.
t0006	t0005	refine	0.983237	300.100000	discard	Single-constant architectural change on elite branch t0005: HEAD_DIM 128 -> 64, which makes build_model_config produce n_head = n_kv_head = 8 instead of 4 at an unchanged model_dim of 512. Parameter count, estimated FLOPs per token, batch size 2**17, the halved learning rates, the 512-token short window, depth 8 and every schedule are unchanged.
t0007	t0004	recombine	0.987139	300.100000	discard	Recombination of the two elite lines along their single shared axis. From t0005 it takes TOTAL_BATCH_SIZE 2**17 with DEVICE_BATCH_SIZE 64 and gradient accumulation 1; from t0004 it takes the principle that rates must be rescaled to the batch, extended from the 1/sqrt(2) exponent to full linear scaling: EMBEDDING_LR 0.15, UNEMBEDDING_LR 0.001, MATRIX_LR 0.01, each 1/4 of the original 2**19-batch value. Capacity, HEAD_DIM 128, the 512-token short window, depth 8 and all schedules are unchanged.
t0008	t0004	explore	0.980245	300.100000	keep	One structural change on champion t0004: has_ve now returns True for every layer instead of only alternating layers, so all 8 blocks carry a value embedding and a ve_gate rather than 4. This roughly doubles value-embedding parameters from 16.8M to 33.5M (vocab 8192 by kv_dim 512 per layer). Depth, model_dim, HEAD_DIM 128, batch 2**18, the rescaled learning rates, the 512-token short window and all schedules are unchanged.
t0009	t0008	refine	-	-	failed	Document-boundary masking on champion t0008. GPT.forward derives document starts from BOS positions in the flattened batch and builds a cu_seqlens tensor; CausalSelfAttention and Block thread that descriptor through, and attention calls flash_attn_varlen_func with per-document sequence boundaries instead of flash_attn_func over whole rows. The sliding-window sizes, causality, capacity, dense value embeddings, batch 2**18, learning rates and all schedules are unchanged, so only the attention support set differs.
